CatInfo Tgn-Ebre," La Casa Bofarull, als Pallaresos, obre les portes per fer-hi visites guiades.

 Una casa pairal amb molta història en què Josep Maria Jujol va deixar el seu segell modernista.

 Hi anem al programa ""Un país per voltar""",3,2023-06-09T06:00:00.000Z
CatInfo Tgn-Ebre,"Operatiu especial dels Mossos aquesta matinada en tres punts de l'AP-7 a Vandellòs i l'Hospitalet de l'Infant, al Baix Camp, per evitar el transport de drogues. També s'han fet controls de velocitat i alcoholèmia

Més notícies territorials a:
http://catradio.cat/tarragona",1,2023-06-09T06:11:19.000Z
Catalunya Informació," Coneixes la Casa Bofarull? És una de les joies modernistes del país, situada al poble dels Pallaresos, a poca distància de Tarragona.

 Ens conviden a visitar-la, al programa de turisme ""Un país per voltar""",2,2023-06-09T06:05:00.000Z
Catalunya Informació,"#ÚltimaHora Operació dels Mossos d'Esquadra en maxa per detenir una quarantena de membres dels 'Casuals', un grup radical d'aficionats del Barça. Els vinculen amb delictes com homicidis, tinença il·lícita d'armes o extorsió, entre d'altres

http://catradio.cat/catinfo",,2023-06-09T05:59:57.000Z
Catalunya Informació," De ben petit volia tocar la trompeta, i ara que té 14 anys ha compost la seva primera sardana.   

 El Jordi Montanyà s'ha  convertit en el compositor de sardanes més jove de Catalunya.",15,2023-06-09T05:46:58.000Z
Catalunya Informació," La cosmètica coreana és més que una tendència i no para de créixer a Catalunya. L'any passat les exportacions cap al l'estat espanyol van pujar un 229%

Aquí t'expliquem les claus de l'èxit ",2,2023-06-08T21:21:00.000Z
Catalunya Informació," El boom de la cosmètica coreana, més enllà de la pandèmia

 T'expliquem les claus de l'èxit ",,2023-06-08T21:15:34.000Z
Catalunya Informació,Destituïts els principals càrrecs de la ràdio i la televisió públiques d'Itàlia per odre de Giorgia Meloni. La primera ministra ha substituït el director general de la RAI per un d'afí,6,2023-06-08T20:15:00.000Z
Catalunya Informació,Què passa quan en un municipi no es presenta ningú a les eleccions? Això ha passat en 44 localitats de tot l'Estat,3,2023-06-08T19:40:00.000Z
CatInfo Girona," Salut accepta la petició de veïns i ajuntament de #Bonmatí (Selva) per fer analítiques als 200 nens del poble i saber si l’activitat d’una empresa de reciclatge de bateries els perjudica la salut. 

 Miraran si tenen restes de plom a la sang.",2,2023-06-08T19:25:43.000Z
Catalunya Informació,"El dia en 4 paraules

Les persones que hagin contractat viatges de vacances abans de la convocatòria electoral del 23 de juliol estaran exemptes de ser membres de les meses electorals",1,2023-06-08T19:35:00.000Z
